"species","carnivore","carnivore_::_piscivore","carnivore_::_sanguivore","carnivore_::_insectivore","carnivore_::_molluscivore","carnivore_::_eats_other_marine_invertebrates","herbivore","herbivore_::_frugivore","herbivore_::_lignivore","herbivore_::_algivore","omnivore","planktivore","mycophage","detritivore","coprophage","birds","mammals","amphibians","reptiles","fish","eggs","blood","body_fluids","carrion","insects","terrestrial_non-insect_arthropods","mollusks","terrestrial_worms","aquatic_or_marine_worms","aquatic_crustaceans","echinoderms","cnidarians","other_marine_invertebrates","zooplankton","leaves","roots_and_tubers","wood,_bark,_or_stems","seeds,_grains,_and_nuts","fruit","nectar","pollen","flowers","sap_or_other_plant_fluids","bryophytes","lichens","algae","macroalgae","phytoplankton","fungus","detritus","dung","microbes","iucn_red_list","endothermic","ectothermic","heterothermic","homoiothermic","mass_-_average_-_kg","mass_-_adult_-_average_-_kg","mass_-_adult_-_female_-_average_-_kg","mass_-_adult_-_male_-_average_-_kg","mass_-_embryo_-_average_-_kg","mass_-_weanling_-_average_-_kg","mass_-_female_-_average_-_kg","mass_-_male_-_average_-_kg"
"Platyrrhinus brachycephalus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus dorsalis","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus helleri","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus infuscus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus lineatus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.022,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus recifinus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus umbratus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platyrrhinus vittatus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Platysternon megacephalum","YES","YES","","","YES","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Endangered","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Plecia nearctica","","","","","","","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","YES","","","","","YES","YES","","","","","","","","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Plecotus auritus","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.008,NA,NA,NA,NA,NA,NA,NA
"Plecotus austriacus","YES","","","YES","","","","","","","","","","","","","","","YES","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.01,NA,NA,NA,NA,NA,NA,NA
"Plectrophenax nivalis","YES","","","YES","","","","","","","YES","","","","","","","","","","",NA,"","","YES","YES","","","","","","","","","YES","","","YES","","","","","","","","","","","","","","","Least Concern","YES","","","",0.04,NA,NA,NA,NA,NA,NA,NA
"Plegadis chihi","YES","","","YES","YES","","","","","","","","","","","","","YES","","","",NA,"","","YES","YES","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",0.4875,NA,NA,NA,NA,NA,NA,NA
"Plerotes anchietae","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Plestiodon fasciatus","YES","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Plestiodon laticeps","YES","","","YES","","","","","","","","","","","","","YES","","YES","","",NA,"","","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Plestiodon obsoletus","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","","","",0.027,NA,NA,NA,NA,NA,NA,NA
"Plethobasus cyphyus","","","","","","","YES","","","YES","","","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","YES","","YES","","YES","","YES","Endangered","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Plethodon cinereus","YES","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","YES","","",0.0005,NA,NA,NA,NA,NA,NA,NA
"Plethodon cylindraceus","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Plethodon glutinosus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","YES","","",0.0042,NA,NA,NA,NA,NA,NA,NA
"Plethodon jordani","YES","","","YES","YES","","YES","","","","","","","","","","","","","","",NA,"","","YES","","YES","YES","","","","","","","","","YES","","","","","YES","","","","","","","","","","","Near Threatened","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Plethodon nettingi","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","Near Threatened","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Plethodon richmondi","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Plethodon serratus","YES","","","YES","YES","","","","","","","","","","","","","","","","",NA,"","","YES","YES","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Pleurobema clava","","","","","","","","","","","","YES","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","YES","","YES","","YES","","YES","Critically Endangered","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Pleurobema coccineum","","","","","","","","","","","","YES","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","YES","","YES","","YES","","YES","Least Concern","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Pleurobema sintoxia","","","","","","","","","","","","YES","","YES","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","YES","","YES","","YES","","YES","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Pleuroploca gigantea","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pluvialis dominica","YES","","","YES","YES","","YES","YES","","","","","","","","","","","","YES","",NA,"","","YES","","YES","YES","YES","YES","","","YES","","","","","","YES","","","","","","","","","","","","","","Least Concern","YES","","","YES",0.1446,NA,NA,NA,NA,NA,NA,NA
"Podiceps auritus","YES","YES","","YES","YES","","","","","","","","","","","","","YES","","YES","",NA,"","","YES","","YES","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.435,NA,NA,NA,NA,NA,NA,NA
"Podiceps cristatus","YES","YES","","YES","YES","","","","","","","","","","","","","YES","","YES","",NA,"","","YES","","YES","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",1.145,NA,NA,NA,NA,NA,NA,NA
"Podiceps grisegena","YES","YES","","","","","","","","","","","","","","","","YES","","YES","",NA,"","","YES","","","YES","","YES","","","YES","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",1.2,NA,NA,NA,NA,NA,NA,NA
"Podilymbus podiceps","YES","YES","","YES","","","","","","","","","","","","","","","","YES","",NA,"","","YES","YES","","YES","","YES","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.45,NA,NA,NA,NA,NA,NA,NA
"Podogymnura aureospinula","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Podogymnura truei","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","YES","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Podomys floridanus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Vulnerable","YES","","","",0.0325,NA,NA,NA,NA,NA,NA,NA
"Podoxymys roraimae","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Poecilogale albinucha","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.305,NA,NA,NA,NA,NA,NA,NA
"Poelagus marjorita","","","","","","","YES","","","","","","","","YES","","","","","","",NA,"","","","","","","","","","","","","YES","YES","YES","YES","","","","YES","","","","","","","","","","","Least Concern","YES","","","",2.5,NA,NA,NA,NA,NA,NA,NA
"Pogona vitticeps","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not Evaluated","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pogonias cromis","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No special status","YES","","YES","",19,NA,NA,NA,NA,NA,NA,NA
"Pogonomelomys bruijni","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pogonomelomys mayeri","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pogonomys championi","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pogonomys loriae","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pogonomys macrourus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Pogonomys sylvestris","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"Poiana richardsonii","","","","","","","","","","","YES","","","","","YES","YES","","","","",NA,"","","YES","","","","","","","","","","YES","","","YES","YES","","","","","","","","","","","","","","Least Concern","YES","","","",0.6,NA,NA,NA,NA,NA,NA,NA
"Poicephalus senegalus","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.12,NA,NA,NA,NA,NA,NA,NA
"Polemaetus bellicosus","YES","","","","","","","","","","","","","","","YES","YES","YES","YES","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Near Threatened","YES","","","YES",4.65,NA,NA,NA,NA,NA,NA,NA
"Polihierax semitorquatus","YES","","","YES","","","","","","","","","","","","YES","YES","","YES","","",NA,"","","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","YES",0.065,NA,NA,NA,NA,NA,NA,NA
"Polioptila caerulea","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.0065,NA,NA,NA,NA,NA,NA,NA
"Polioptila melanura","YES","","","YES","","","","","","","","","","","","","","","","","",NA,"","","YES","YES","","","","","","","","","","","","","","","","","","","","","","","","","","","Least Concern","YES","","","",0.005,NA,NA,NA,NA,NA,NA,NA
"Polistes dominula","YES","","","YES","","","YES","YES","","","YES","","","","","","","","","","",NA,"","","YES","","","","","","","","","","","","","","YES","YES","","","","","","","","","","","","","No special status","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Polistes fuscatus","","","","","","","","","","","YES","","","","","","","","","","",NA,"","","YES","","","","","","","","","","","","","","","YES","","","","","","","","","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Polites peckius","","","","","","","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","YES","","","","","YES","","","","","","","","","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Pollachius virens","YES","YES","","","YES","","","","","","","","","","","","","","","YES","",NA,"","","","","YES","","","YES","","","","","","","","","","","","","","","","","","","","","","","Not Evaluated","","YES","YES","",2.75,NA,NA,NA,NA,NA,NA,NA
"Pollicipes polymerus","","","","","","","","","","","","YES","","","","","","","","","",NA,"","","","","YES","","","","","","","YES","","","","","","","","","","","","","","YES","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Polygonia comma","","","","","","","YES","","YES","","","","","","","","","","","","",NA,"","","","","","","","","","","","","YES","","YES","","","","","","YES","","","","","","","","","","No special status","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Polygonia progne","","","","","","","YES","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","YES","","","","","YES","","","YES","","","","","","","","","","Not Evaluated","","YES","YES","",NA,NA,NA,NA,NA,NA,NA,NA
"Polyodon spathula","","","","","","","","","","","","YES","","","","","","","","","",NA,"","","YES","","","","","YES","","","","YES","","","","","","","","","","","","","","","","","","","Vulnerable","","YES","YES","",31.5,NA,NA,NA,NA,NA,NA,NA
"Polystoma nearcticum","","","","","","","","","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Not Evaluated","","YES","","",NA,NA,NA,NA,NA,NA,NA,NA
"Polytelis alexandrae","","","","","","","YES","YES","","","","","","","","","","","","","",NA,"","","","","","","","","","","","","","","","YES","YES","","","YES","","","","","","","","","","","Near Threatened","YES","","","",0.1134,NA,NA,NA,NA,NA,NA,NA
"Pomacanthus annularis","YES","YES","","","","YES","YES","","","YES","YES","YES","","","","","","","","","",NA,"","","","","","","","","","YES","YES","","YES","","","","","","","","","","","YES","","","","","","","Least Concern","","","","",NA,NA,NA,NA,NA,NA,NA,NA
