"accepted_species_gbif","accepted_gbif_id","gbif_id","order","family","genus","status","species_raw","adw_primary_diet","adw_carnivore","adw_carnivore.piscivore","adw_carnivore.sanguivore","adw_carnivore.insectivore","adw_carnivore.molluscivore","adw_carnivore.eats_other_marine_invertebrates","adw_herbivore","adw_herbivore.frugivore","adw_herbivore.lignivore","adw_herbivore.algivore","adw_omnivore","adw_planktivore","adw_mycophage","adw_detritivore","adw_coprophage","adw_animal_foods","adw_birds","adw_mammals","adw_amphibians","adw_reptiles","adw_fish","adw_eggs","adw_blood","adw_body_fluids","adw_carrion","adw_insects","adw_terrestrial_non_insect_arthropods","adw_mollusks","adw_terrestrial_worms","adw_aquatic_or_marine_worms","adw_aquatic_crustaceans","adw_echinoderms","adw_cnidarians","adw_other_marine_invertebrates","adw_zooplankton","adw_plant_foods","adw_leaves","adw_roots_and_tubers","adw_wood_bark_or_stems","adw_seeds_grains_and_nuts","adw_fruit","adw_nectar","adw_pollen","adw_flowers","adw_sap_or_other_plant_fluids","adw_bryophytes","adw_lichens","adw_algae","adw_macroalgae","adw_phytoplankton","adw_other_foods","adw_fungus","adw_detritus","adw_dung","adw_microbes","adw_endothermic","adw_ectothermic","adw_heterothermic","adw_homoiothermic","species","bodymass_kg"
"Macrocheira kaempferi","5729749","5729749","Decapoda","Inachidae","Macrocheira","ACCEPTED","Macrocheira kaempferi","Omnivore, Detritivore","","",NA,"","","","","","","","YES","","","YES",NA,"Fish, Carrion, Aquatic Crustaceans, Other Marine Invertebrates","","","","","YES","",NA,"","YES","","","","","","YES","",NA,"YES","","Algae, Macroalgae","","","","","","","","","",NA,NA,"YES","YES","","Detritus","","YES",NA,"","","YES","YES","","macrocheira_kaempferi",18
"Macrochelys temminckii","5220318","5220318","Testudines","Chelydridae","Macrochelys","ACCEPTED","Macrochelys temminckii","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Birds, Mammals, Reptiles, Fish, Carrion, Insects, Mollusks, Aquatic Crustaceans","YES","YES","","YES","YES","",NA,"","YES","YES","","YES","","","YES","",NA,"","","Leaves, Roots and tubers, Wood, bark, or stems, Seeds, grains, and nuts","YES","YES","YES","YES","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","macrochelys_temminckii",75
"Macroderma gigas","5218772","5218772","Chiroptera","Megadermatidae","Macroderma","ACCEPTED","Macroderma gigas","Carnivore, Carnivore: Eats terrestrial vertebrates, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Birds, Mammals, Amphibians, Reptiles, Insects","YES","YES","YES","YES","","",NA,"","","YES","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macroderma_gigas",0.15
"Macrogalidia musschenbroekii","2434740","2434740","Carnivora","Viverridae","Macrogalidia","ACCEPTED","Macrogalidia musschenbroekii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","","","","macrogalidia_musschenbroekii",NA
"Macroglossus minimus","5218625","5218625","Chiroptera","Pteropodidae","Macroglossus","ACCEPTED","Macroglossus minimus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macroglossus_minimus",0.018
"Macroglossus sobrinus","5218626","5218626","Chiroptera","Pteropodidae","Macroglossus","ACCEPTED","Macroglossus sobrinus","Herbivore, Herbivore: Frugivore, Herbivore: Nectarivore","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Fruit, Nectar, Pollen, Flowers","","","","","YES","YES","YES","YES","",NA,NA,"","","","","","",NA,"","YES","","","YES","macroglossus_sobrinus",0.02075
"Macrophyllum macrophyllum","5218752","5218752","Chiroptera","Phyllostomidae","Macrophyllum","ACCEPTED","Macrophyllum macrophyllum","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macrophyllum_macrophyllum",0.009
"Macropus agilis","5219975","5219975","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus agilis","Herbivore, Herbivore: Folivore, Herbivore: Frugivore, Herbivore: Granivore","","",NA,"","","","YES","YES","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_agilis",16
"Macropus antilopinus","5219988","5219988","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus antilopinus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves","YES","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_antilopinus",42.5
"Macropus bernardus","5219964","5219964","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus bernardus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves","YES","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_bernardus",17.5
"Macropus dorsalis","5219980","5219980","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus dorsalis","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Wood, bark, or stems, Seeds, grains, and nuts","YES","","YES","YES","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_dorsalis",49.5
"Macropus eugenii","5219989","5219989","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus eugenii","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_eugenii",6.55
"Macropus fuliginosus","5219965","5219965","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus fuliginosus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_fuliginosus",28.25
"Macropus giganteus","5219981","5219981","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus giganteus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macropus_giganteus",46.75
"Macropus irma","5219969","5219969","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus irma","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves","YES","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macropus_irma",8
"Macropus parma","5219984","5219984","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus parma","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macropus_parma",4.55
"Macropus parryi","5219962","5219962","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus parryi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macropus_parryi",16.5
"Macropus robustus","5219970","5219970","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus robustus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves","YES","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macropus_robustus",30
"Macropus rufogriseus","2440196","2440196","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus rufogriseus","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macropus_rufogriseus",16.2
"Macropus rufus","5219963","5219963","Diprotodontia","Macropodidae","Macropus","ACCEPTED","Macropus rufus","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves, Wood, bark, or stems","YES","","YES","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","macropus_rufus",90
"Macroscelides proboscideus","2440869","2440869","Macroscelidea","Macroscelididae","Macroscelides","ACCEPTED","Macroscelides proboscideus","Carnivore, Carnivore: Insectivore, Carnivore: Eats non-insect arthropods","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","",NA,"","","Leaves, Roots and tubers, Fruit","YES","YES","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macroscelides_proboscideus",0.045
"Macrosiphum euphorbiae","2077747","2077747","Hemiptera","Aphididae","Macrosiphum","ACCEPTED","Macrosiphum euphorbiae","Herbivore, Herbivore: Eats sap or other plant foods","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Sap or other plant fluids","","","","","","","","","YES",NA,NA,"","","","","","",NA,"","","YES","YES","","macrosiphum_euphorbiae",NA
"Macrotarsomys bastardi","2438489","2438489","Rodentia","Nesomyidae","Macrotarsomys","ACCEPTED","Macrotarsomys bastardi","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macrotarsomys_bastardi",0.0295
"Macrotis lagotis","5219460","5219460","Peramelemorphia","Thylacomyidae","Macrotis","ACCEPTED","Macrotis lagotis","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Mammals, Reptiles, Eggs, Insects, Terrestrial Non-insect Arthropods, Mollusks","","YES","","YES","","YES",NA,"","","YES","YES","YES","","","","",NA,"","","Roots and tubers, Seeds, grains, and nuts, Fruit","","YES","","YES","YES","","","","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","macrotis_lagotis",1.55
"Macrotis leucura","5219459","5219459","Peramelemorphia","Thylacomyidae","Macrotis","ACCEPTED","Macrotis leucura","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macrotis_leucura",0.354
"Macrotus californicus","2433296","2433296","Chiroptera","Phyllostomidae","Macrotus","ACCEPTED","Macrotus californicus","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","macrotus_californicus",0.0125
"Madoqua guentheri","2441003","2441003","Artiodactyla","Bovidae","Madoqua","ACCEPTED","Madoqua guentheri","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","madoqua_guentheri",4
"Madoqua kirkii","2441001","2441001","Artiodactyla","Bovidae","Madoqua","ACCEPTED","Madoqua kirkii","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","madoqua_kirkii",4.5
"Madoqua saltiana","2441002","2441002","Artiodactyla","Bovidae","Madoqua","ACCEPTED","Madoqua saltiana","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","madoqua_saltiana",4.25
"Magicicada septendecim","5792026","5792026","Hemiptera","Cicadidae","Magicicada","ACCEPTED","Magicicada septendecim","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","magicicada_septendecim",NA
"Makaira nigricans","8098719","8098719","Perciformes","Istiophoridae","Makaira","ACCEPTED","Makaira nigricans","Carnivore, Carnivore: Piscivore, Carnivore: Molluscivore","YES","YES",NA,"","YES","","","","","","","","","",NA,"Fish, Mollusks, Aquatic Crustaceans","","","","","YES","",NA,"","","","","YES","","","YES","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","","YES","","makaira_nigricans",153.5
"Malaclemys terrapin","2443212","2443212","Testudines","Emydidae","Malaclemys","ACCEPTED","Malaclemys terrapin","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","malaclemys_terrapin",0.72
"Malacosoma americana","5101728","5101728","Lepidoptera","Lasiocampidae","Malacosoma","ACCEPTED","Malacosoma americanum","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","Leaves","YES","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","malacosoma_americanum",NA
"Malapterurus electricus","2342026","2342026","Siluriformes","Malapteruridae","Malapterurus","ACCEPTED","Malapterurus electricus","Carnivore, Carnivore: Piscivore","YES","YES",NA,"","","","","","","","","","","",NA,"Fish","","","","","YES","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","","","","malapterurus_electricus",10
"Mandrillus leucophaeus","5219557","5219557","Primates","Cercopithecidae","Mandrillus","ACCEPTED","Mandrillus leucophaeus","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","Leaves, Fruit","YES","","","","YES","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","mandrillus_leucophaeus",18.25
"Mandrillus sphinx","5219556","5219556","Primates","Cercopithecidae","Mandrillus","ACCEPTED","Mandrillus sphinx","Omnivore","","",NA,"","","","","","","","YES","","","",NA,"Amphibians, Reptiles, Insects, Mollusks, Terrestrial Worms","","","YES","YES","","",NA,"","","YES","","YES","YES","","","",NA,"","","Roots and tubers, Seeds, grains, and nuts, Fruit","","YES","","YES","YES","","","","",NA,NA,"","","","Fungus","YES","",NA,"","YES","","","YES","mandrillus_sphinx",18.25
"Manis crassicaudata","5219633","5219633","Pholidota","Manidae","Manis","ACCEPTED","Manis crassicaudata","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_crassicaudata",20
"Manis culionensis","5219629","5219629","Pholidota","Manidae","Manis","ACCEPTED","Manis culionensis","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_culionensis",2.1
"Manis gigantea","5219631","5219631","Pholidota","Manidae","Manis","ACCEPTED","Manis gigantea","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_gigantea",NA
"Manis javanica","5219628","5219628","Pholidota","Manidae","Manis","ACCEPTED","Manis javanica","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_javanica",NA
"Manis pentadactyla","5219638","5219638","Pholidota","Manidae","Manis","ACCEPTED","Manis pentadactyla","","","",NA,"","","","","","","","","","","",NA,"","","","","","","",NA,"","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_pentadactyla",2.35
"Manis temminckii","5219630","5219630","Pholidota","Manidae","Manis","ACCEPTED","Manis temminckii","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_temminckii",12.5
"Manis tetradactyla","5219649","5219649","Pholidota","Manidae","Manis","ACCEPTED","Manis tetradactyla","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects","","","","","","",NA,"","","YES","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","YES","manis_tetradactyla",2.25
"Manis tricuspis","5219635","5219635","Pholidota","Manidae","Manis","ACCEPTED","Manis tricuspis","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods, Terrestrial Worms","","","","","","",NA,"","","YES","YES","","YES","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","YES","","","","manis_tricuspis",9.25
"Manouria emys","2441830","2441830","Testudines","Testudinidae","Manouria","ACCEPTED","Manouria emys","Herbivore, Herbivore: Folivore","","",NA,"","","","YES","","","","","","","",NA,"Amphibians, Terrestrial Worms","","","YES","","","",NA,"","","","","","YES","","","",NA,"","","Leaves, Seeds, grains, and nuts, Fruit","YES","","","YES","YES","","","","",NA,NA,"","","","Fungus","YES","",NA,"","","YES","YES","","manouria_emys",28.5
"Mansonella ozzardi","7029821","7029821","Spirurida","Onchocercidae","Mansonella","ACCEPTED","Mansonella ozzardi","Carnivore, Carnivore: Eats body fluids","YES","",NA,"","","","","","","","","","","",NA,"Body fluids","","","","","","",NA,"YES","","","","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","mansonella_ozzardi",NA
"Mobula alfredi","9241141","2419160","Myliobatiformes","Myliobatidae","Mobula","SYNONYM","Manta alfredi","Planktivore","","",NA,"","","","","","","","","YES","","",NA,"Aquatic Crustaceans, Zooplankton","","","","","","",NA,"","","","","","","","YES","",NA,"","YES","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","","","manta_alfredi",NA
"Manta birostris","9765493","9765493","Myliobatiformes","Myliobatidae","Manta","ACCEPTED","Manta birostris","Carnivore, Carnivore: Eats non-insect arthropods","YES","",NA,"","","","","","","","","","","",NA,"Fish, Aquatic Crustaceans, Zooplankton","","","","","YES","",NA,"","","","","","","","YES","",NA,"","YES","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","manta_birostris",1300
"Mantella aurantiaca","2423174","2423174","Anura","Mantellidae","Mantella","ACCEPTED","Mantella aurantiaca","Carnivore, Carnivore: Insectivore","YES","",NA,"YES","","","","","","","","","","",NA,"Insects, Terrestrial Non-insect Arthropods","","","","","","",NA,"","","YES","YES","","","","","",NA,"","","","","","","","","","","","",NA,NA,"","","","","","",NA,"","","YES","YES","","mantella_aurantiaca",NA
