"Ref	Cite_in	DOI	Classe	Sous classe	Super ordre	Ordre	Sous ordre	Famille	Genus	Species	Functional_group	Diet_type	Diet_type_ajout	Ref_ajout_diet	C_mean	C_sd	N_mean	N_sd	P_mean	P_sd	P_MinMax	C/N_mean	C/N_sd	C/P_mean	C/P_sd	N/P	DryMass (g)	DryMass_sd (g)	DryMass_ajout	DryMass_sd_ajout	Ref_ajout_DryMass	WetMass (g)	WetMass_ajout	Ref_ajout_WetMass	Body_length(m)	Body_length_sd(m)	C_mean_sample_size	N_mean_sample-size	P_mean_sample_size	Mass_sample_size	Age_Stage(???)	Biome	Biome ajout	Ref biome ajout	Stoichio data source	Body_mass data source	Observation	Agent	Organism_source	Stoichio_analysis	Nitrogen_calc_from_prot	Ratio_method";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius	vietus	Microbe				44.5		3.9					13.31																									JS	BA				molar";
"Kottke_et_al_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Russulales		Russulaceae	Lactarius		Microbe								0.38																												JS	BA				molar";
"Edmonds_&_Lebo_1998	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Polyporales		Fomitopsidaceae	Laetiporus	sulphureus	Microbe						2.97																														JS	BA				molar";
"Kovacs_&_Vetter_2015	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Polyporales		Fomitopsidaceae	Laetiporus	sulphureus	Microbe								0.53																												JS	BA				molar";
"Kovacs_&_Vetter_2015	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Polyporales		Fomitopsidaceae	Laetiporus	sulphureus	Microbe								0.45																												JS	BA				molar";
"Tel_et_al_2014	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Polyporales		Fomitopsidaceae	Laetiporus	sulphureus	Microbe								0.36																												JS	BA				molar";
"Vetter_1990	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Polyporales		Fomitopsidaceae	Laetiporus	sulphureus	Microbe								0.45																												JS	BA				molar";
"Dimitrijevic_et_al_2016	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Leccinellum	crocipodium	Microbe								0.64																												JS	BA				molar";
"Falandysz_et_al_2001	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Leccinum	griseum	Microbe								0.73																												JS	BA				molar";
"Taylor_et_al_2003	Zhang_2017	10.3389/fmicb.2017.01281	Agaricomycetes			Boletales		Boletaceae	Leccinum	aurantiacum	Microbe				42.5		4.5					11.02																									JS	BA				molar";
